before {'accuracy': 0.044921875, 'correct_probability': 0.09788074158132076}
{'step': 680, 'reward': 0.109375, 'group_hit': 0.8125, 'pg': -0.0071578249335289, 'kl': 0.08155666291713715, 'grad_norm': 0.7700714468955994}
{'step': 685, 'reward': 0.140625, 'group_hit': 0.84375, 'pg': -0.024502024054527283, 'kl': 0.09279007464647293, 'grad_norm': 0.7588826417922974}
{'step': 690, 'reward': 0.123046875, 'group_hit': 0.8125, 'pg': -0.009471752680838108, 'kl': 0.04579516500234604, 'grad_norm': 0.6001347303390503}
{'step': 695, 'reward': 0.09375, 'group_hit': 0.78125, 'pg': -0.004025166854262352, 'kl': 0.0786823183298111, 'grad_norm': 0.6146678924560547}
{'step': 700, 'reward': 0.111328125, 'group_hit': 0.78125, 'pg': -0.012889567762613297, 'kl': 0.04950111731886864, 'grad_norm': 0.6225152015686035}
{'step': 705, 'reward': 0.125, 'group_hit': 0.78125, 'pg': -0.015145082026720047, 'kl': 0.037239208817481995, 'grad_norm': 0.6440153121948242}
{'step': 710, 'reward': 0.1015625, 'group_hit': 0.8125, 'pg': -0.013761961832642555, 'kl': 0.04994875192642212, 'grad_norm': 0.4573790729045868}
{'step': 715, 'reward': 0.15234375, 'group_hit': 0.875, 'pg': -0.03262585029006004, 'kl': 0.04225093498826027, 'grad_norm': 1.1390430927276611}
{'step': 720, 'reward': 0.138671875, 'group_hit': 0.75, 'pg': -0.029657891020178795, 'kl': 0.10975584387779236, 'grad_norm': 0.7444834113121033}
{'step': 725, 'reward': 0.123046875, 'group_hit': 0.8125, 'pg': -0.0022315550595521927, 'kl': 0.05089570954442024, 'grad_norm': 0.6724905967712402}
{'step': 730, 'reward': 0.115234375, 'group_hit': 0.75, 'pg': -0.01983845978975296, 'kl': 0.0427921861410141, 'grad_norm': 0.590268075466156}
{'step': 735, 'reward': 0.087890625, 'group_hit': 0.6875, 'pg': -0.0030237138271331787, 'kl': 0.04277636855840683, 'grad_norm': 0.6074188947677612}
{'step': 740, 'reward': 0.1015625, 'group_hit': 0.6875, 'pg': 0.0018180757761001587, 'kl': 0.06698089838027954, 'grad_norm': 0.7550831437110901}
{'step': 745, 'reward': 0.123046875, 'group_hit': 0.84375, 'pg': -0.012692863121628761, 'kl': 0.053687743842601776, 'grad_norm': 0.545581579208374}
{'step': 750, 'reward': 0.115234375, 'group_hit': 0.8125, 'pg': -0.012832405976951122, 'kl': 0.061300672590732574, 'grad_norm': 0.5272845029830933}
{'step': 755, 'reward': 0.12890625, 'group_hit': 0.875, 'pg': -0.00859176367521286, 'kl': 0.060975074768066406, 'grad_norm': 0.48992636799812317}
{'step': 760, 'reward': 0.119140625, 'group_hit': 0.8125, 'pg': -0.008482156321406364, 'kl': 0.03786194324493408, 'grad_norm': 0.5627148151397705}
{'step': 765, 'reward': 0.080078125, 'group_hit': 0.75, 'pg': -0.007144643925130367, 'kl': 0.04898872971534729, 'grad_norm': 0.4337522089481354}
{'step': 770, 'reward': 0.08203125, 'group_hit': 0.59375, 'pg': -0.0067114750854671, 'kl': 0.041265495121479034, 'grad_norm': 0.4488169252872467}
{'step': 775, 'reward': 0.111328125, 'group_hit': 0.8125, 'pg': -0.007439835462719202, 'kl': 0.031223252415657043, 'grad_norm': 0.5844918489456177}
